Traceback Cluster,Brand Codes,All Variations in Cluster,Distinct Variation Count,Total Rows Affected,Excel Row Numbers
"11042268, 11014720, 11013754, 11047312, 11040113","11042268, 11014720, 11013754, 11047312, 11040113",32 North Ale | 34 North Cocktail | 42 North Ale | 42 North Lager | 44 North Cocktail,5,5,"67, 420, 421, 546, 1718"
"11041591, 11014871, 11011181, 11024677","11041591, 11014871, 11011181, 11024677",18Th Street Dozer Lager | 18Th Street Lager | 18Th Street Other | 4th Street Lightly Sparkled Sweet Red | 4th Street Lightly Sparkled Sweet Rose | 4th Street Other,6,6,"1020, 1023, 1028, 3919, 3920, 3925"
"11051917, 11053056, 11054043, 12009603","11051917, 11053056, 11054043, 12009603",1769 Distillery Mvodka | 1769 Distillery Vodka | 7k Distillery Gin Aqua Vitae Modern | 7k Distillery Gin Aqua Vitae Raspberry | 7k Distillery Gin Tasmanian Raspberry Fizz | 7k Distillery Tasmanian Raspberry,6,6,"2713, 2714, 3698, 3700, 3702, 3704"
"11006580, 11039068, 12001700","11006580, 11039068, 12001700",5 Kapel Vodka | 5 Kapiel Vodka,2,2,"321, 3438"
"11051915, 11031614, 11055893","11051915, 11031614, 11055893",13 Barrels Miss Claras | 13 Barrels Miss Claras Ale,2,2,"490, 492"
"11003522, 11043207, 11006162","11003522, 11043207, 11006162",115 Brandy | 1715 Brandy,2,2,"615, 2088"
"11015825, 11029054, 12018362","11015825, 11029054, 12018362",6 Degrees North Anejo Tequila | 6 Degrees North Blanco Tequila | 6 Degrees North Cassis Blackcurrant Ale | 6 Degrees North Cassis Blackcurrant Beer | 6 Degrees North Framboise Raspberry Ale | 6 Degrees North Framboise Raspberry Beer | 6 Degrees North Paradise | 6 Degrees North Pilsner,8,8,"776, 779, 784, 785, 786, 787, 788, 792"
"11040982, 11006945, 12018412","11040982, 11006945, 12018412",813 Tequila Blanco | 818 Tequila Anejo | 818 Tequila Blanco | 818 Tequila other | 888 Tequila Other,5,5,"1347, 1350, 1351, 1756, 3657"
"11003527, 11044591, 11032738","11003527, 11044591, 11032738",360 Assorted Vodka | 360 Assorted Vodka DNU | 360 Buttered Popcorn | 360 Buttered Popcorn Vodka | 360 Georgia Peach | 360 Georgia Peach Vodka | 360 Imported American Vodka | 360 Rose Tequila | 360 Rose Tequila DNU | 360 Vodka Proud American,10,10,"1605, 1608, 1613, 1617, 1618, 1621, 1644, 1645, 1648, 1649"
"11042826, 12009835","11042826, 12009835",40 0 Vodka | 40 Vodka,2,2,"39, 3580"
